 ;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73
a;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;14;1;1;1;18;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;38;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
b;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;23;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
c;13;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
d;20;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;43;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
e;9;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;12;1;1;1;16;1;1;1;1;1;1;1;1;25;1;TOKEN 6;1;1;1;31;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;56;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
f;35;1;TOKEN 1;4;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
g;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
h;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;17;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;28;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
i;3;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;29;1;1;1;1;1;1;1;1;1;1;1;1;42;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
j;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
